30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
-2.0553948735184742e-02  -1.5191603682142462e-02   5.6778631925410883e-01  -7.6826688514334907e-01
-1.8467942325938125e-02  -1.3649779113797231e-02   5.6772854374931991e-01  -7.6818871582813419e-01
-1.6180780663940356e-02  -1.1959154074411199e-02   5.6767238711204393e-01  -7.6811273654060641e-01
-1.4088985271276392e-02  -1.0411527469138522e-02   5.6762757331610347e-01  -7.6805210008980218e-01
-1.2557364259946913e-02  -9.2763847725146880e-03   5.6759869141371200e-01  -7.6801301086839746e-01
-1.1856509213404537e-02  -8.7564622138652185e-03   5.6758657548359737e-01  -7.6799660766747913e-01
-1.1856509213404537e-02  -8.7564622138652185e-03   5.6758657548359737e-01  -7.6799660766747913e-01
-1.1325750734802003e-02  -8.3627478799309131e-03   5.6757785855400045e-01  -7.6798480347671072e-01
-1.0167941343063168e-02  -7.5054620722945506e-03   5.6756021771490717e-01  -7.6796090786265181e-01
-8.5852652369326349e-03  -6.3455685982187074e-03   5.6753919414768472e-01  -7.6793243624584462e-01
-6.8289117852121826e-03  -5.0963436454439411e-03   5.6752018489453526e-01  -7.6790680793372812e-01
-5.1608782424395639e-03  -3.9520898421178969e-03   5.6750643984089644e-01  -7.6788858443391295e-01
-3.8804423650041294e-03  -3.0618618149191720e-03   5.6749862721218802e-01  -7.6787852349163344e-01
-3.2806768048460710e-03  -2.6190703081160872e-03   5.6749573204685833e-01  -7.6787487671052612e-01
-3.2806768048460710e-03  -2.6190703081160872e-03   5.6749573204685833e-01  -7.6787487671052612e-01
-2.8251365564782539e-03  -2.2615716284589294e-03   5.6749384726368568e-01  -7.6787252059554301e-01
-1.8527185949694510e-03  -1.3958762631456649e-03   5.6749074765328456e-01  -7.6786858649308987e-01
-7.0786736334050400e-04   1.1989465722833855e-05   5.6748910428688715e-01  -7.6786570411258215e-01
-8.4857553733095012e-05   1.7644420351901867e-03   5.6749132864681928e-01  -7.6786490198893587e-01
-5.7971119589224015e-04   3.0656463650431433e-03   5.6749702700396110e-01  -7.6786437378768302e-01
-1.7464945802618550e-03   3.1872890140413317e-03   5.6750244898459767e-01  -7.6786250540102652e-01
-2.4681387112650555e-03   2.7934926074522082e-03   5.6750477970691704e-01  -7.6786088445145950e-01
-2.4681387239999979e-03   2.7934926091625284e-03   5.6750477970691648e-01  -7.6786088445145884e-01
-1.3511342578497781e-03   2.1103943515159117e-03   5.6750666867745292e-01  -7.6785943181199767e-01
 1.6174576398270382e-04   9.2494946514339396e-04   5.6750915299505156e-01  -7.6785857644906819e-01
 1.1133178936071327e-03   2.3227538059538899e-04   5.6751027797330855e-01  -7.6786018898628106e-01
 1.7740738867066813e-03   5.1661205236749918e-04   5.6751104073219860e-01  -7.6786382726788027e-01
 2.5141163317095026e-03   1.3163415288411976e-03   5.6751308783857757e-01  -7.6786871864417272e-01
 3.1977062746814970e-03   2.0360426756758296e-03   5.6751590452644207e-01  -7.6787351524384118e-01
 3.5456719163869154e-03   2.3776768919829359e-03   5.6751760758311931e-01  -7.6787611624238994e-01
 3.5456719163869154e-03   2.3776768919829359e-03   5.6751760758311931e-01  -7.6787611624238994e-01
 4.0312786996024542e-03   2.8292645275346537e-03   5.6752025910648540e-01  -7.6787997207778813e-01
 5.1631776939980514e-03   3.7939710081867891e-03   5.6752762990922234e-01  -7.6789018003340004e-01
 6.7786858198405301e-03   5.0427150207478597e-03   5.6754106415711292e-01  -7.6790830057504655e-01
 8.5534394285182568e-03   6.3463554595074518e-03   5.6756000267005657e-01  -7.6793378458202333e-01
 1.0157450863510662e-02   7.5161774118089929e-03   5.6758104969055689e-01  -7.6796219429819101e-01
 1.1323850762908193e-02   8.3713026562071014e-03   5.6759871260237538e-01  -7.6798607726356094e-01
